price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,card_number_guess,grader_norm,grade_value,title_short,valuation_range,valuation_note,valuation_lane
25.0,5.07,30.07,2026-03-16,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
25.0,3.99,28.99,2026-03-16,bin,True,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
10.45,5.82,16.27,2026-03-16,auction,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1 W/ Crea...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
95.0,10.0,105.0,2026-03-16,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,5.07,25.06,2026-03-16,bin,False,,,,1991 Upper Deck Michael Jordan #SP1 Short Print Insert Ch...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
24.99,5.99,30.98,2026-03-16,bin,False,,,,1991 UPPER DECK MICHAEL JORDAN SP1 BASEBALL CARDNO. SP1 C...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
35.0,5.2,40.2,2026-03-16,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,1.32,21.31,2026-03-16,bin,False,,,,Michael Jordan 1991 Upper Deck Baseball #SP1 Chicago Whit...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
15.01,4.0,19.01,2026-03-15,auction,False,,,,1991 Upper Deck #SP1 Michael Jordan,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
21.39,0.0,21.39,2026-03-15,auction,False,,,,1991 Upper Deck Michael Jordan Rookie Card Baseball #SP1 ...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.78,5.07,24.85,2026-03-15,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.09,4.99,24.08,2026-03-15,auction,False,,,,1991 Upper Deck Michael Jordan Inserts RC #SP1 White Sox ...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,5.07,25.06,2026-03-15,bin,False,,,,Upper Deck 1991 Michael Jordan SP1 Chicago White Sox Shor...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
31.0,5.99,36.99,2026-03-15,auction,False,,,,1991 Upper Deck Short Print Baseball #SP1 Michael Jordan,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
20.0,5.99,25.99,2026-03-15,auction,False,,,,1991 Upper Deck Short Print Baseball #SP1 Michael Jordan,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
32.77,4.99,37.76,2026-03-15,auction,False,,,,1991 Upper Deck Michael Jordan Inserts RC #SP1 White Sox ...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
22.78,4.95,27.73,2026-03-15,bin,False,,,,1991 Upper Deck #SP1 Michael Jordan,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
15.5,4.99,20.49,2026-03-15,auction,False,,,,1991 Upper Deck Michael Jordan Inserts #SP1 White Sox,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
35.0,4.99,39.99,2026-03-15,auction,False,,,,1991 Upper Deck Michael Jordan Inserts RC #SP1 White Sox ...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
18.27,4.99,23.26,2026-03-15,auction,False,,,,1991 Upper Deck Michael Jordan Inserts RC #SP1 White Sox ...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
34.33,4.99,39.32,2026-03-15,auction,False,,,,1991 Upper Deck Michael Jordan Inserts RC Rookie #SP1 Whi...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
26.0,6.0,32.0,2026-03-15,bin,True,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
20.5,0.0,20.5,2026-03-15,auction,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
18.0,5.99,23.99,2026-03-15,bin,True,,,,1991 Upper Deck Michael Jordan Inserts #SP1 Chicago White...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
10.5,8.75,19.25,2026-03-15,auction,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,0.0,19.99,2026-03-15,bin,True,,,,1991 Upper Deck Michael Jordan Inserts #SP1 White Sox,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
20.0,0.74,20.74,2026-03-15,bin,True,,,,1991 Upper Deck #SP1 Michael Jordan,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
10.52,7.1,17.62,2026-03-15,auction,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
32.5,5.75,38.25,2026-03-15,bin,False,,,,1991 Upper Deck - Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
23.99,4.99,28.98,2026-03-15,bin,True,,,,1991 Upper Deck #SP1 Michael JORDAN Iconic Short Print SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
15.39,1.03,16.42,2026-03-15,auction,False,,,,Upper Deck 1991 SP1 Michael Jordan Short Print Chicago Wh...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
23.5,5.0,28.5,2026-03-15,bin,True,,,,Upper Deck 1991 Short Print Insert Michael Jordan #SP1 Wh...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
14.99,1.32,16.31,2026-03-14,bin,False,,,,1991 Upper Deck #SP1 Michael Jordan,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
21.39,5.79,27.18,2026-03-14,auction,False,,,,1991 Upper Deck Short Print Michael Jordan #SP1 HOF EX+ /...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
